AYSA,Suabi Airport,PG,,PG-WPD,OC,small_airport,-6.10444444444,142.278333333,465,
AYSB,Sirebi Airstrip,PG,Sirebi,PG-GPK,OC,small_airport,-7.2196,144.2352,115,
AYSE,Simberi Airport,PG,Simberi Island,PG-NIK,OC,small_airport,-2.66222222222,151.997777778,10,
AYSG,Sila Airport,PG,Sila Mission,PG-NPP,OC,small_airport,-9.07355555556,148.38925,2230,
AYSH,Sabah Airport,PG,Sabah,PG-NSB,OC,small_airport,-5.5765,155.0489,10,
AYSI,Seltamin Airstrip,PG,Seltamin,PG-WPD,OC,small_airport,-5.4122,141.8252,4285,
AYSJ,Simbai Airport,PG,Simbai,PG-MPM,OC,small_airport,-5.278611111110001,144.544722222,5804,
AYSM,Samberigi Airstrip,PG,Samberigi Mission,PG-SHM,OC,small_airport,-6.7193,143.9338,3830,
AYSO,Selbang Airport,PG,Selbang,PG-WPD,OC,small_airport,-5.315,141.752,5130,
AYSQ,Sepik Plains Airport,PG,Sepik Plains,PG-ESW,OC,small_airport,-3.8821,143.6734,230,
AYSR,Sangera Airstrip,PG,Sangera,PG-ESW,OC,small_airport,-3.9678,143.2763,127,
AYST,Sturt Island Airport,PG,,PG-WPD,OC,small_airport,-8.1525,142.268444444,40,
AYSV,Sauren Airport,PG,Sauren,PG-WBK,OC,small_airport,-5.9701,148.8543,46,
AYSX,Masa Airport,PG,Masa,PG-MPL,OC,small_airport,-6.345,147.591,5900,
AYSY,Serra Airstrip,PG,Serai,PG-SAN,OC,small_airport,-2.9739,141.9297,37,
AYSZ,Samanzing Airstrip,PG,Samanzing,PG-MPL,OC,small_airport,-6.4513,147.0673,6042,
AYTA,Tari Airport,PG,Tari,PG-HE,OC,small_airport,-5.84499979019,142.947998047,5500,
AYTB,Tabubil Airport,PG,Tabubil,PG-WPD,OC,small_airport,-5.27861,141.225998,1570,
AYTC,Tapila Airstrip,PG,Mutam,PG-WPD,OC,small_airport,-8.4188,142.9043,48,
AYTD,Teredau Airport,PG,Tetehui,PG-GPK,OC,small_airport,-7.3205,144.6384,100,
AYTI,Tapini Airport,PG,Tapini,PG-CPM,OC,small_airport,-8.35666666667,146.989166667,3100,
AYTK,Tokua Airport,PG,Tokua,PG-EBR,OC,medium_airport,-4.34045982361,152.380004883,32,
AYTL,Talbakul Airstrip,PG,Talbakul,PG-CPK,OC,small_airport,-6.3708,144.7167,3500,
AYTM,Tamo Airstrip,PG,Tamo,PG-ESW,OC,small_airport,-4.7246,144.1529,140,
AYTN,Tekin Airport,PG,Tekin,PG-SAN,OC,small_airport,-5.24366666667,142.165194444,5785,
AYTP,Tep Tep Airport,PG,Teptep,PG-MPM,OC,small_airport,-5.9553,146.5595,7011,
AYTQ,Tapen Airstrip,PG,Tapen,PG-MPL,OC,small_airport,-5.8545,146.6371,5066,
AYTS,Tsewi Airport,PG,Tsewi,PG-MPL,OC,small_airport,-7.0695,146.1272,4185,
AYTT,Tarakbits Airport,PG,Tarakbits,PG-WPD,OC,small_airport,-5.614,141.0421,281,
AYTW,Tawa Airport,PG,Tawa,PG-MPL,OC,small_airport,-7.4463,146.1067,5020,
AYTZ,Tekadu Airport,PG,Tekadu,PG-MPL,OC,small_airport,-7.6808,146.5503,1310,
AYUA,Utai Airstrip,PG,Utai,PG-SAN,OC,small_airport,-3.386,141.5868,707,
AYUC,Umba Airport,PG,Umba,PG-MPL,OC,small_airport,-7.0214,145.966,5950,
AYUE,Uroubi Airport,PG,Uroubi,PG-NPP,OC,small_airport,-9.5162,148.5591,481,
AYUG,Brugam Airstrip,PG,Wa'ahun,PG-ESW,OC,small_airport,-3.6381,142.8379,595,
AYUL,Musula Airstrip,PG,Musula,PG-SHM,OC,small_airport,-6.8385,142.8983,740,
AYUN,Bunam Airstrip,PG,Bunam,PG-ESW,OC,small_airport,-4.6564,144.2517,48,
AYUO,Omaura Airstrip,PG,Omaura,PG-EHG,OC,small_airport,-6.3679,145.9902,4860,
AYUQ,Kumbwareta Airstrip,PG,Kumbwareta,PG-WHM,OC,small_airport,-5.5078,144.1171,4067,
AYUR,Upiara Airport,PG,Upiara,PG-WPD,OC,small_airport,-8.5411,142.6503,52,
AYUS,Suame Airstrip,PG,Suame,PG-WPD,OC,small_airport,-8.3684,142.5862,71,
AYUT,Bunguwat Airstrip,PG,Bunguwat,PG-MPL,OC,small_airport,-6.005,146.7205,5740,
AYUV,Tuvau Airstrip,PG,Tuvau,PG-GPK,OC,small_airport,-6.6025,145.8372,5300,
AYUX,Usarumpia Airstrip,PG,Usarumpia,PG-EHG,OC,small_airport,-6.9858,145.8102,5820,
AYUZ,Uvol Airport,PG,Uvol,PG-EBR,OC,small_airport,-6.0178,150.9557,15,
AYVA,Vailala Airstrip,PG,Hepa,PG-GPK,OC,small_airport,-7.7677,145.4857,85,
AYVB,Tobou Airstrip,PG,Tobou,PG-MPL,OC,small_airport,-6.4026,147.4223,4732,
AYVL,Talasea Airport,PG,Talasea,PG-WBK,OC,small_airport,-5.2726,150.0089,44,
AYVM,Torembi Airport,PG,Torembi,PG-ESW,OC,small_airport,-4.0165,143.1329,90,
AYVN,Vanimo Airport,PG,Vanimo,PG-SAN,OC,medium_airport,-2.6926,141.3028,10,
AYVO,Tonu Airport,PG,Tonu,PG-NSB,OC,small_airport,-6.6552,155.4326,300,
AYVP,Woposali Airstrip,PG,Woposali,PG-SHM,OC,small_airport,-6.6577,144.2974,2009,
AYWB,Wabo Airport,PG,Wabo,PG-GPK,OC,small_airport,-6.98944444444,145.075111111,132,
AYWD,Wapenamanda Airport,PG,,PG-EPW,OC,medium_airport,-5.6433000564575195,143.89500427246094,5889,
AYWF,Wawoi Falls Airport,PG,Wavoi Falls,PG-WPD,OC,small_airport,-6.9523,142.6557,370,
AYWK,Wewak International Airport,PG,Wewak,PG-ESW,OC,medium_airport,-3.58383011818,143.669006348,19,
AYWN,Nugwaia Airstrip,PG,Nugwaia,PG-ESW,OC,small_airport,-3.8183,142.835,279,
AYWO,Wonenara Airport,PG,Wonenara,PG-EHG,OC,small_airport,-6.796861111110001,145.891944444,5028,
AYWQ,Wakunai Airport,PG,Wakunai,PG-EBR,OC,small_airport,-5.8603,155.2223,20,
AYWS,Wasu Airport,PG,Wasu,PG-MPL,OC,small_airport,-5.96170944919,147.19822526,34,
AYWT,Woitape Airport,PG,Fatima Mission,PG-CPM,OC,small_airport,-8.54583333333,147.2525,5200,
AYWU,Wau Airport,PG,Wau,PG-SAN,OC,small_airport,-7.345555555560001,146.718611111,3600,
AYWV,Warasai Airstrip,PG,Warasai,PG-SAN,OC,small_airport,-4.012,142.51,150,
AYXB,Buluwo Airstrip,PG,Buluwo,PG-SAN,OC,small_airport,-3.6753,142.0151,600,
AYXE,Yeva Airport,PG,Yeva,PG-MPL,OC,small_airport,-7.548,146.188,4510,
