AYMB,Morobe Airport,PG,Morobe,PG-MPL,OC,small_airport,-7.74,147.59,8,RUNWAY,1998,,,0,0,17,,,,,,35,,,,,
AYMD,Madang Airport,PG,Madang,PG-MPM,OC,medium_airport,-5.20707988739,145.789001465,20,RUNWAY,5174,105,ASPHALT,1,0,07,-5.20893,145.782,20,75,205,25,-5.20524,145.796,7,255,
AYMH,Mount Hagen Kagamuga Airport,PG,Mount Hagen,PG-WHM,OC,medium_airport,-5.826789855957031,144.29600524902344,5388,RUNWAY,3599,59,ASPHALT,0,0,08,-5.82708,144.293,5363,85,197,26,-5.82615,144.303,5363,265,197,RUNWAY,7185,98,ASPHALT,1,0,12,-5.82376,144.291,5363,121,,30,-5.83398,144.308,5363,301,
AYMN,Mendi Airport,PG,Mendi,PG-SHM,OC,medium_airport,-6.14774,143.656998,5680,RUNWAY,4411,98,ASPHALT,0,0,17,-6.14171,143.656,5695,172.8,,35,-6.15377,143.658,5665,352.8,
AYMO,Momote Airport,PG,Manus Island,PG-MRL,OC,medium_airport,-2.06189,147.423996,12,RUNWAY,6136,148,ASPHALT,1,0,16,-2.05393,147.421,4,161,,34,-2.06988,147.427,8,341,197,
AYMY,Smok Airstrip,PG,Smok,PG-SAN,OC,small_airport,-3.3158,141.2461,729,RUNWAY,1969,98,GRASS,0,0,15,,,,,,33,,,,,
AYNM,Kasonombe Airport,PG,Kasonombe,PG-MPL,OC,small_airport,-6.3819,146.9859,5800,RUNWAY,1499,98,GRASS,0,0,12,,,,,,30,,,,,
AYNO,Nomane Airport,PG,Namane,PG-CPK,OC,small_airport,-6.32183,145.070667,6032,RUNWAY,1627,,,0,0,08,,,,,,26,,,,,
AYNT,Kantobo Airstrip,PG,Kantobo,PG-SHM,OC,small_airport,-6.7227,143.5636,1385,RUNWAY,1476,98,GRASS,0,0,09,,,,,,27,,,,,
AYNZ,Nadzab Airport,PG,Lae,PG-MPL,OC,medium_airport,-6.569803,146.725977,239,RUNWAY,8004,98,ASPHALT,1,0,09,-6.56887,146.715,239,95,,27,-6.57078,146.737,216,275,
AYOD,Obura Airstrip,PG,Obura,PG-EHG,OC,small_airport,-6.5507,145.9728,5600,RUNWAY,1870,98,GRASS,0,0,10,,,,,,28,,,,,
AYOE,Konge Airport,PG,Konge,PG-MPL,OC,small_airport,-6.2239,147.2152,5900,RUNWAY,2014,,,0,0,01,,,,,,19,,,,,
AYOH,Okisai Airstrip,PG,Okisai,PG-SAN,OC,small_airport,-4.7065,141.9006,310,RUNWAY,2182,98,GRAVEL,0,0,01,,,,,,19,,,,,
AYOJ,Oksapmin Airport,PG,Oksapmin,PG-SAN,OC,small_airport,-5.2261,142.2259,5140,RUNWAY,2215,98,GRASS,0,0,10,,,,,,28,,,,,
AYOK,Komako Airport,PG,Komako,PG-GPK,OC,small_airport,-7.3984,145.8827,3960,RUNWAY,1224,,,0,0,02,,,,,,20,,,,,
AYOS,Kosimbi Airstrip,PG,Kosimbi Mission,PG-ESW,OC,small_airport,-3.9522,143.1767,149,RUNWAY,1968,,,0,0,17,,,,,,35,,,,,
AYOU,Kombaku Airstrip,PG,Kombaku,PG-MPM,OC,small_airport,-5.3817,144.6355,5400,RUNWAY,1381,98,GRASS,0,0,18,,,,,,36,,,,,
AYOX,Moi Airstrip,PG,Moi,PG-SAN,OC,small_airport,-4.1615,141.2478,240,RUNWAY,1969,98,GRASS,0,0,01,,,,,,19,,,,,
AYOY,Open Bay Airport,PG,Maitanakunai,PG-WBK,OC,small_airport,-4.794727,151.696195,33,RUNWAY,3524,,GRS,0,0,01,,,,,,19,,,,,
AYPA,Somokopa Airstrip,PG,Somokopa,PG-WPD,OC,small_airport,-7.0838,142.514,489,RUNWAY,1680,98,GRASS,0,0,11,,,,,,29,,,,,
AYPC,Pangoa Airport,PG,Pangoa,PG-WPD,OC,small_airport,-7.0226,141.5605,60,RUNWAY,2396,98,GRASS,0,0,01,,,,,,19,,,,,
AYPI,Kapi Airstrip,PG,Kapi,PG-CPK,OC,small_airport,-6.371,144.6839,3408,RUNWAY,1969,98,GRASS,0,0,05,,,,,,23,,,,,
AYPO,Mapoda Airport,PG,Mapoda,PG-WPD,OC,small_airport,-7.979,143.1694,45,RUNWAY,1706,,,0,0,18,,,,,,36,,,,,
AYPY,Port Moresby Jacksons International Airport,PG,Port Moresby,PG-NCD,OC,large_airport,-9.443380355834961,147.22000122070312,146,RUNWAY,6777,148,ASPHALT,1,0,14R,-9.43471,147.213,104,148.5,,32L,-9.45063,147.223,146,328.5,RUNWAY,9022,148,ASPHALT,1,0,14L,-9.43087,147.214,103,148.4,,32R,-9.4521,147.227,128,328.4,
AYQB,Simbari Airstrip,PG,Simbari,PG-EHG,OC,small_airport,-6.9623,145.6448,3560,RUNWAY,1378,98,GRASS,0,0,07,,,,,,25,,,,,
AYQM,Simogu Airstrip,PG,Simogu,PG-EHG,OC,small_airport,-6.8008,145.7134,4990,RUNWAY,1706,98,GRASS,0,0,16,,,,,,34,,,,,
AYQV,Sinow Airstrip,PG,Sinow,PG-SAN,OC,small_airport,-3.9925,141.5537,183,RUNWAY,2021,98,GRASS,0,0,15,,,,,,33,,,,,
AYQW,Sumwari Airstrip,PG,Sumwari,PG-ESW,OC,small_airport,-4.7508,142.3686,465,RUNWAY,1942,49,GRS,0,0,07,,,,,,25,,,,,
AYRG,Rumginae Airport,PG,,PG-WPD,OC,small_airport,-5.89722222222,141.271666667,160,RUNWAY,1952,98,GRASS,0,0,15,,,,,,33,,,,,
AYRI,Karimui Airport,PG,Karimui,PG-CPK,OC,small_airport,-6.4921,144.823,3640,RUNWAY,2900,,,0,0,12,,,,,,30,,,,,
AYRR,Tiri Airstrip,PG,Tiri,PG-SHM,OC,small_airport,-6.6815,144.1842,4545,RUNWAY,1969,98,GRASS,0,0,08,,,,,,26,,,,,
AYRT,Kirinbit Airstrip,PG,Kirinbit,PG-ESW,OC,small_airport,-4.2839,143.1512,60,RUNWAY,2014,98,GRASS,0,0,16,,,,,,34,,,,,
AYRV,May River Airstrip,PG,May River,PG-ESW,OC,small_airport,-4.3615,141.785,107,RUNWAY,1969,98,GRASS,0,0,05,,,,,,23,,,,,
AYSB,Sirebi Airstrip,PG,Sirebi,PG-GPK,OC,small_airport,-7.2196,144.2352,115,RUNWAY,2953,82,GRAVEL,0,0,18,,,,,,36,,,,,
AYSI,Seltamin Airstrip,PG,Seltamin,PG-WPD,OC,small_airport,-5.4122,141.8252,4285,RUNWAY,1181,98,GREY SILT CLAY,0,0,06,,,,,,24,,,,,
AYSR,Sangera Airstrip,PG,Sangera,PG-ESW,OC,small_airport,-3.9678,143.2763,127,RUNWAY,2159,98,GRASS,0,0,10,,,,,,28,,,,,
AYSX,Masa Airport,PG,Masa,PG-MPL,OC,small_airport,-6.345,147.591,5900,RUNWAY,1263,,,0,0,17,,,,,,35,,,,,
AYTD,Teredau Airport,PG,Tetehui,PG-GPK,OC,small_airport,-7.3205,144.6384,100,RUNWAY,2953,82,GRAVEL,0,0,07,,,,,,25,,,,,
AYTK,Tokua Airport,PG,Tokua,PG-EBR,OC,medium_airport,-4.34045982361,152.380004883,32,RUNWAY,5643,92,ASPHALT,1,0,10,-4.33822,152.372,15,106.4,,28,-4.34262,152.387,50,286.4,
AYTM,Tamo Airstrip,PG,Tamo,PG-ESW,OC,small_airport,-4.7246,144.1529,140,RUNWAY,1854,98,GRASS,0,0,16,,,,,,34,,,,,
AYTQ,Tapen Airstrip,PG,Tapen,PG-MPL,OC,small_airport,-5.8545,146.6371,5066,RUNWAY,1969,30,GRASS,0,0,14,,,,,,32,,,,,
AYTT,Tarakbits Airport,PG,Tarakbits,PG-WPD,OC,small_airport,-5.614,141.0421,281,RUNWAY,1909,98,RED CLAY,0,0,18,,,,,,36,,,,,
AYTW,Tawa Airport,PG,Tawa,PG-MPL,OC,small_airport,-7.4463,146.1067,5020,RUNWAY,1529,98,GRASS,0,0,02,,,,,,20,,,,,
AYTZ,Tekadu Airport,PG,Tekadu,PG-MPL,OC,small_airport,-7.6808,146.5503,1310,RUNWAY,1411,98,GRASS,0,0,04,,,,,,22,,,,,
AYUA,Utai Airstrip,PG,Utai,PG-SAN,OC,small_airport,-3.386,141.5868,707,RUNWAY,1844,98,GRASS,0,0,04,,,,,,22,,,,,
AYUC,Umba Airport,PG,Umba,PG-MPL,OC,small_airport,-7.0214,145.966,5950,RUNWAY,1598,98,GRASS,0,0,13,,,,,,31,,,,,
AYUE,Uroubi Airport,PG,Uroubi,PG-NPP,OC,small_airport,-9.5162,148.5591,481,RUNWAY,1575,98,GRASS,0,0,09,,,,,,27,,,,,
AYUG,Brugam Airstrip,PG,Wa'ahun,PG-ESW,OC,small_airport,-3.6381,142.8379,595,RUNWAY,1594,98,GRASS,0,0,07,,,,,,25,,,,,
AYUN,Bunam Airstrip,PG,Bunam,PG-ESW,OC,small_airport,-4.6564,144.2517,48,RUNWAY,1998,98,GRASS,0,0,07,,,,,,25,,,,,
AYUO,Omaura Airstrip,PG,Omaura,PG-EHG,OC,small_airport,-6.3679,145.9902,4860,RUNWAY,1969,98,GRAVEL,0,0,16,,,,,,34,,,,,
AYUQ,Kumbwareta Airstrip,PG,Kumbwareta,PG-WHM,OC,small_airport,-5.5078,144.1171,4067,RUNWAY,2172,,GRS,0,0,13,,,,,,31,,,,,
AYUS,Suame Airstrip,PG,Suame,PG-WPD,OC,small_airport,-8.3684,142.5862,71,RUNWAY,2165,98,GRASS,0,0,14,,,,,,32,,,,,
AYUT,Bunguwat Airstrip,PG,Bunguwat,PG-MPL,OC,small_airport,-6.005,146.7205,5740,RUNWAY,1575,98,GRASS,0,0,15,,,,,,33,,,,,
AYUV,Tuvau Airstrip,PG,Tuvau,PG-GPK,OC,small_airport,-6.6025,145.8372,5300,RUNWAY,1903,98,GRASS,0,0,14,,,,,,32,,,,,
AYUX,Usarumpia Airstrip,PG,Usarumpia,PG-EHG,OC,small_airport,-6.9858,145.8102,5820,RUNWAY,1499,98,GRASS,0,0,04,,,,,,22,,,,,
AYUZ,Uvol Airport,PG,Uvol,PG-EBR,OC,small_airport,-6.0178,150.9557,15,RUNWAY,2756,98,GRAVEL,0,0,07,,,,,,25,,,,,
AYVA,Vailala Airstrip,PG,Hepa,PG-GPK,OC,small_airport,-7.7677,145.4857,85,RUNWAY,2953,98,GVL,0,0,17,,,,,,35,,,,,
